HMDB ID,Name,Chemical Formula,Monoisotopic Mass
HMDB31389,Annopentocin A,C35H64O8,612.460119024
HMDB31390,Annotemoyin 1,C35H64O5,564.475375158
HMDB31391,Mucocin,C37H66O8,638.475769088
HMDB31392,Squamostatin E,C37H66O7,622.480854466
HMDB31393,Squamocin B,C35H62O7,594.449554338
HMDB31394,Annonisin,C35H62O8,610.44446896
HMDB31395,Muricatetrocin C,C35H64O7,596.465204402
HMDB31396,Reticulatamone,C35H64O3,532.485545914
HMDB31397,Bullatin,C37H66O7,622.480854466
HMDB31398,Mosin C,C35H62O7,594.449554338
HMDB31399,Annopentocin C,C35H64O8,612.460119024
HMDB31400,Annopentocin B,C35H64O8,612.460119024
HMDB31401,Dihydroxycitracridone I,C20H21NO7,387.131802031
HMDB31402,23-Acetoxysoladulcidine,C29H47NO4,473.350508997
HMDB31403,Cyclohexaneacetic acid,C8H14O2,142.099379692
HMDB31404,Cyclohexylamine,C6H13N,99.104799421
HMDB31405,(Z)-4-Hepten-1-ol,C7H14O,114.10446507
HMDB31406,Ethyl 3-cyclohexylpropionate,C11H20O2,184.146329884
HMDB31407,Cyclopentanone,C5H8O,84.057514878
HMDB31408,(Â±)-3-Decanol,C10H22O,158.167065326
HMDB31409,2-Decanone,C10H20O,156.151415262
HMDB31410,3-Decen-2-one,C10H18O,154.135765198
HMDB31411,4-Acetamido-2-aminobutanoic acid,C6H12N2O3,160.08479226
HMDB31412,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,C7H14N2O4,190.095356946
HMDB31413,Diethylenetriamine,C4H13N3,103.110947431
HMDB31414,"2,3-Dimethyl-2-cyclohexen-1-one",C8H12O,124.088815006
HMDB31415,"2,6-Dimethyl-2,4-heptadiene",C9H16,124.125200512
HMDB31416,"3,4-Dimethylheptane",C9H20,128.15650064
HMDB31417,"2,6-Dimethyl-4-heptanone",C9H18O,142.135765198
HMDB31418,"3,3-Dimethylhexane",C8H18,114.140850576
HMDB31419,N-Nitrosodimethylamine,C2H6N2O,74.048012824
HMDB31420,Heliannone C,C16H14O5,286.084123558
HMDB31421,Heliannone B,C17H16O5,300.099773622
HMDB31422,cis-Piceid,C20H22O8,390.13146768
HMDB31423,omega-Salicoyisalicin,C20H22O9,406.126382302
HMDB31424,Spinacetin 3-(2''-feruloylgentiobioside),C39H42O21,846.221858406
HMDB31425,Spinacetin 3-(2''-apiosylgentiobioside),C34H42O22,802.216773028
HMDB31426,Spinacetin 3-[p-coumaroyl-(->2)-glucosyl-(1->6)-[apiosyl-(1->2)]-glucoside],C43H48O24,948.253552464
HMDB31427,Spinacetin 3-[feruloyl-(->2)-glucosyl-(1->6)-[apiosyl-(1->2)]-glucoside],C44H50O25,978.26411715
HMDB31428,Farnisin,C16H12O5,284.068473494
HMDB31429,"2,4-Dimethyl-3-pentanone",C7H14O,114.10446507
HMDB31430,Dimethyl peroxide,C2H6O2,62.036779436
HMDB31431,Dipropyl sulfide,C6H14S,118.081621138
HMDB31434,Bromine,Br2,157.836675294
HMDB31436,Silicic acid,H4O4Si,95.987885149
HMDB31437,(-)-Bornesitol,C7H14O6,194.07903818
HMDB31438,Euphol,C30H50O,426.386166222
HMDB31440,Linalool oxide (trans-pyranoid),C10H18O2,170.13067982
HMDB31441,Linalool oxide III,C10H18O2,170.13067982
HMDB31443,Capsicoside E,C64H106O35,1434.651465162
HMDB31444,N-Dodecane,C12H26,170.203450832
HMDB31445,Undecane,C11H24,156.187800768
HMDB31446,p-Isopropylphenol,C9H12O,136.088815006
HMDB31447,N-Heptane,C7H16,100.125200512
HMDB31448,Glycosides,C29H44O12,584.283276872
HMDB31449,Sequoyitol,C7H14O6,194.07903818
HMDB31450,N-Decane,C10H22,142.172150704
HMDB31452,Lignans,C22H22O8,414.13146768
HMDB31453,Carbonate,CO3,59.984743866
HMDB31454,trans-Jasmone,C11H16O,164.120115134
HMDB31455,p-Menthane,C10H20,140.15650064
HMDB31456,2-Methylpropan-2-ol,C4H10O,74.073164942
HMDB31457,Corilagin,C27H22O18,634.0806139
HMDB31458,Cyanidin 3-rutinoside,C27H31O15,595.166295322
HMDB31459,3-Methoxybenzaldehyde,C8H8O2,136.0524295
HMDB31460,Anthocyanidins,C15H11O,207.080989974
HMDB31461,Xylene,C24H30,318.23475096
HMDB31462,[10]-Shogaol,C21H32O3,332.23514489
HMDB31463,[8]-Shogaol,C17H24O3,276.172544634
HMDB31464,cis-[8]-Shogaol,C19H28O3,304.203844762
HMDB31465,Methyl-[10]-shogaol,C22H34O3,346.250794954
HMDB31466,Selenomethyl selenocysteine,C4H9NO2Se,182.979850365
HMDB31468,Cyanidin 3-glucogalactoside,C27H31O16,611.161209944
HMDB31469,trans-Isoasarone,C12H16O3,208.109944378
HMDB31470,"3,5-Dimethyl-1,2,4-trithiolane",C4H8S3,151.978812326
HMDB31471,Diplodiatoxin,C18H28O4,308.198759384
HMDB31472,Dipropyl disulfide,C6H14S2,150.053691828
HMDB31473,"1,3-Dithiane",C4H8S2,120.006741636
HMDB31474,"1,4-Dithiane",C4H8S2,120.006741636
HMDB31475,Heptanal,C7H14O,114.10446507
HMDB31476,"2,3-Heptanedione",C7H12O2,128.083729628
HMDB31477,"3,4-Heptanedione",C7H12O2,128.083729628
HMDB31478,Methyl heptanoate,C8H16O2,144.115029756
HMDB31479,1-Heptanol,C7H16O,116.120115134
HMDB31480,Heptyl acetate,C9H18O2,158.13067982
HMDB31481,xi-3-Heptanol,C7H16O,116.120115134
HMDB31482,3-Heptanone,C7H14O,114.10446507
HMDB31483,(Z)-4-Heptenal,C7H12O,112.088815006
HMDB31484,2-Heptenoic acid,C7H12O2,128.083729628
HMDB31486,3-Hepten-2-one,C7H12O,112.088815006
HMDB31487,(E)-4-Hepten-2-one,C7H12O,112.088815006
HMDB31488,2-Hepten-4-one,C7H12O,112.088815006
HMDB31489,"1,1,1,3,3,3-Hexachloro-2-propanone",C3Cl6O,261.808030864
HMDB31490,"(Â±)-1,5-Hexanediol",C6H14O2,118.099379692
HMDB31491,"2,3-Hexanedione",C6H10O2,114.068079564
HMDB31492,"3,4-Hexanedione",C6H10O2,114.068079564
HMDB31493,3-Hexanol,C6H14O,102.10446507
HMDB31496,2-Hexenal,C6H10O,98.073164942
HMDB31497,3-Hexenal,C6H10O,98.073164942
HMDB31498,(Z)-3-Hexenal,C6H10O,98.073164942
HMDB31500,Methyl 2E-hexenoate,C7H12O2,128.083729628
HMDB31501,3-Hexenoic acid,C6H10O2,114.068079564
HMDB31502,(E)-4-Hexen-1-ol,C6H12O,100.088815006
HMDB31503,1-Hexen-3-ol,C6H12O,100.088815006
HMDB31504,Methyl (Z)-3-hexenoate,C7H12O2,128.083729628
HMDB31505,Homoagmatine,C6H16N4,144.137496532
HMDB31506,"4,4'-Diaminodibutylamine",C8H21N3,159.173547687
HMDB31507,1-Hydroxy-2-butanone,C4H8O2,88.0524295
HMDB31509,Ethyl (Â±)-3-hydroxyhexanoate,C8H16O3,160.109944378
HMDB31510,R-2-Hydroxy-3-methylbutanoic acid 3-Methylbutanoyl,C10H18O4,202.120509064
HMDB31511,Diacetone alcohol,C6H12O2,116.083729628
HMDB31512,Tiglic aldehyde,C5H8O,84.057514878
HMDB31513,(Â±)-3-Hydroxynonanoic acid,C9H18O3,174.125594442
HMDB31514,6-Butyltetrahydro-2H-pyran-2-one,C9H16O2,156.115029756
HMDB31515,"(E)-8-Hydroxy-2-octene-4,6-diynoic acid",C8H6O3,150.031694058
HMDB31516,3-Hydroxy-2-pentanone,C5H10O2,102.068079564
HMDB31517,(R)-3-Hydroxy-5-phenylpentanoic acid,C11H14O3,194.094294314
HMDB31518,D-Malic acid,C4H6O5,134.021523302
HMDB31519,4-Mercapto-4-methyl-2-pentanone,C6H12OS,132.060885696
HMDB31520,2-Mercaptopropanoic acid,C3H6O2S,106.008850126
HMDB31521,Ethyl 2-mercaptopropionate,C5H10O2S,134.040150254
HMDB31522,Mesoxalic acid,C3H2O5,117.990223174
HMDB31523,Methyl acetate,C3H6O2,74.036779436
HMDB31524,Bromomethane,CH3Br,93.941812743
HMDB31525,(S)-2-Methylbutanal,C5H10O,86.073164942
HMDB31526,(Â±)-2-Methylbutanal,C5H10O,86.073164942
HMDB31527,(S)-2-Methyl-1-butanol,C5H12O,88.088815006
HMDB31528,Isopentyl acetate,C7H14O2,130.099379692
HMDB31529,3-Methyl-2-butene-1-thiol,C5H10S,102.05032101
HMDB31530,3-Methyl-3-buten-2-one,C5H8O,84.057514878
HMDB31531,Dihydro-5-pentyl-2(3H)-furanone,C9H16O2,156.115029756
HMDB31532,"1-Methyl-1,3-cyclohexadiene",C7H10,94.07825032
HMDB31533,Rhamnalpinogenin,C17H12O7,328.058302738
HMDB31534,(+)-Galeon,C20H22O4,326.151809192
HMDB31535,Hydroxygaleon,C20H22O5,342.146723814
HMDB31536,Myricatomentoside I,C26H32O10,504.199547244
HMDB31537,3-Methylcyclohexanethiol,C7H14S,130.081621138
HMDB31538,3-Methylcyclohexanol,C7H14O,114.10446507
HMDB31539,2-Methylcyclohexanone,C7H12O,112.088815006
HMDB31540,4-Methylcyclohexanone,C7H12O,112.088815006
HMDB31541,3-Methyl-2-cyclohexen-1-one,C7H10O,110.073164942
HMDB31542,Methylcyclopentane,C6H12,84.093900384
HMDB31543,"3-Methyl-1,2-cyclopentanedione",C6H8O2,112.0524295
HMDB31544,3-Methylcyclopentene,C6H10,82.07825032
HMDB31545,2-Methyl-2-cyclopenten-1-one,C6H8O,96.057514878
HMDB31546,3-Methyl-2-cyclopenten-1-one,C6H8O,96.057514878
HMDB31547,L-Cyclo(alanylglycyl),C5H8N2O2,128.05857751
HMDB31548,Dichloromethane,CH2Cl2,83.953355478
HMDB31549,5-Methyl-2-hexanone,C7H14O,114.10446507
HMDB31550,5-Methyl-3-hexen-2-one,C7H12O,112.088815006
HMDB31551,5-Methyl-5-hexen-2-one,C7H12O,112.088815006
HMDB31552,Dihydrocurcumin,C21H22O6,370.141638436
HMDB31553,"6-(1-Hydroxyethyl)-2,2-dimethyl-2H-1-benzopyran",C13H16O2,204.115029756
HMDB31554,Sucralose,C12H19Cl3O8,396.014550705
HMDB31555,Maesopsin 6-glucoside,C21H22O11,450.116211546
HMDB31556,Isononane,C9H20,128.15650064
HMDB31557,4-Methyloctanoic acid,C9H18O2,158.13067982
HMDB31558,Methyloxirane,C3H6O,58.041864814
HMDB31559,"4-Methyl-2,3-pentanedione",C6H10O2,114.068079564
HMDB31560,2-Methyl-2-pentenoic acid,C6H10O2,114.068079564
HMDB31561,4-Methyl-2-pentenoic acid,C6H10O2,114.068079564
HMDB31562,2-Methyl-3-pentenoic acid,C6H10O2,114.068079564
HMDB31563,"4-Methyl-3-penten-2-one, 9CI",C6H10O,98.073164942
HMDB31564,4-Methyl-4-penten-2-one,C6H10O,98.073164942
HMDB31565,Dihydrojasmone,C11H18O,166.135765198
HMDB31566,2-Methyl-3-phenyl-2-propenal,C10H10O,146.073164942
HMDB31567,3-Methyl-4-phenyl-3-buten-2-one,C11H12O,160.088815006
HMDB31568,4-Methyl-1-phenyl-2-pentanol,C12H18O,178.135765198
HMDB31569,4-Methyl-1-phenyl-2-pentanone,C12H16O,176.120115134
HMDB31570,2-Methyl-1-phenyl-2-propanol,C10H14O,150.10446507
HMDB31571,2-Methyl-1-phenyl-2-propanyl acetate,C12H16O2,192.115029756
HMDB31572,"2-Methyl-4-propyl-1,3-oxathiane",C8H16OS,160.092185824
HMDB31573,(R)-(E)-Sulforaphene,C6H9NOS2,175.012555295
HMDB31574,1-Isothiocyanato-6-(methylthio)hexane,C8H15NS2,189.064590865
HMDB31576,(E)-4-Isothiocyanato-1-(methylthio)-1-butene,C6H9NS2,159.017640673
HMDB31577,Berteroin,C7H13NS2,175.048940801
HMDB31578,2-Methylpentanal,C6H12O,100.088815006
HMDB31579,Ethyl (Â±)-2-methylpentanoate,C8H16O2,144.115029756
HMDB31580,(Â±)-2-Methylpentanoic acid,C6H12O2,116.083729628
HMDB31581,Morpholine,C4H9NO,87.068413915
HMDB31582,"6-Methyl-3,5-heptadien-2-one",C8H12O,124.088815006
HMDB31583,3-Methylheptane,C8H18,114.140850576
HMDB31584,Myricatomentoside II,C27H34O11,534.21011193
HMDB31585,Patuletin 3-(2''-apiosyl-[2'''-feruloylgentiobioside]),C43H48O25,964.248467086
HMDB31586,7-Hydroxy-8-O-methylaloin B,C22H24O10,448.136946988
HMDB31587,2-Methylheptanoic acid,C8H16O2,144.115029756
HMDB31588,6-Methylheptanoic acid,C8H16O2,144.115029756
HMDB31589,4-Methyl-2-heptanol,C8H18O,130.135765198
HMDB31590,3-Methyl-3-hepten-2-one,C8H14O,126.10446507
HMDB31591,5-Methyl-5-hepten-2-one,C8H14O,126.10446507
HMDB31592,Brevifolincarboxylic acid 9-sulfate,C13H8O11S,371.978731788
HMDB31593,"5-Methyl-2,3-hexanedione",C7H12O2,128.083729628
HMDB31594,2-Methylhexanoic acid,C7H14O2,130.099379692
HMDB31595,5-Methylhexanoic acid,C7H14O2,130.099379692
HMDB31596,Methyl 5-methylhexanoate,C8H16O2,144.115029756
HMDB31597,"2,4-Pentadienal",C5H6O,82.041864814
HMDB31598,"2,3-Pentanedione",C5H8O2,100.0524295
HMDB31599,2-Pentanol,C5H12O,88.088815006
HMDB31600,(Â±)-2-Pentanol acetate,C7H14O2,130.099379692
HMDB31601,2-Pentenal,C5H8O,84.057514878
HMDB31602,4-Pentenoic acid,C5H8O2,100.0524295
HMDB31603,Ethyl 4-pentenoate,C7H12O2,128.083729628
HMDB31604,(E)-2-Penten-1-ol,C5H10O,86.073164942
HMDB31605,1-Penten-3-ol,C5H10O,86.073164942
HMDB31606,4-Penten-2-one,C5H8O,84.057514878
HMDB31607,1-Penten-3-one,C5H8O,84.057514878
HMDB31608,Peracetic acid,C2H4O3,76.016043994
HMDB31609,Phenoxyacetic acid,C8H8O3,152.047344122
HMDB31610,Allyl phenoxyacetate,C11H12O3,192.07864425
HMDB31611,"Cyanidin 3-O-[b-D-Glucopyranosyl-(1->2)-[3,4-dihydroxy-E-cinnamoyl-(->6)]-b-D-glucopyranoside] 5-glucoside",C42H47O24,935.245727432
HMDB31612,"3,5-Dimethoxy-2,7-phenanthrenediol",C16H14O4,270.089208936
HMDB31613,4-Phenyl-2-butanol,C10H14O,150.10446507
HMDB31614,4-Phenyl-2-butyl acetate,C12H16O2,192.115029756
HMDB31615,Dioctyltin isooctylthioglycolate,C36H72O4S2Sn,752.389398743
HMDB31616,4-Phenyl-3-buten-2-ol,C10H12O,148.088815006
HMDB31617,Benzylideneacetone,C10H10O,146.073164942
HMDB31618,Ethyl 4-phenylbutanoate,C12H16O2,192.115029756
HMDB31619,2-Phenyl-2-butenal,C10H10O,146.073164942
HMDB31620,Vestitone,C16H14O5,286.084123558
HMDB31621,Cinnamylideneacetone,C12H12O,172.088815006
HMDB31622,6-Phenyl-3-hexen-2-one,C12H14O,174.10446507
HMDB31623,Ethyl phenylglycidate,C11H12O3,192.07864425
HMDB31624,5-Phenyl-1-pentanol,C11H16O,164.120115134
HMDB31625,1-Phenyl-2-pentanol,C11H16O,164.120115134
HMDB31626,2-Phenylpropanal,C9H10O,134.073164942
HMDB31627,1-Phenyl-1-propanol,C9H12O,136.088815006
HMDB31628,2-Phenyl-1-propanol,C9H12O,136.088815006
HMDB31630,Propane,C3H8,44.062600256
HMDB31631,"1,2-Propanedithiol",C3H8S2,108.006741636
HMDB31632,"1,3-Propanedithiol",C3H8S2,108.006741636
HMDB31633,Orientanol B,C21H22O4,338.151809192
HMDB31634,2-Propanethiol,C3H8S,76.034670946
HMDB31635,2-Propene-1-thiol,C3H6S,74.019020882
HMDB31636,(E)-1-Propene-1-sulfenic acid,C3H6OS,90.013935504
HMDB31638,Pentyl propanoate,C8H16O2,144.115029756
HMDB31639,Glycerol 1-propanoate,C6H12O4,148.073558872
HMDB31640,Glycerol 1-propanoate diacetate,C10H16O6,232.094688244
HMDB31641,Pyrrolidine,C4H9N,71.073499293
HMDB31642,N-Nitroso-pyrrolidine,C4H8N2O,100.063662888
HMDB31643,Ethyl pyruvate,C5H8O3,116.047344122
HMDB31644,"1,1-Diethoxyethane",C6H14O2,118.099379692
HMDB31645,Acetamide,C2H5NO,59.037113787
HMDB31646,Acetic anhydride,C4H6O3,102.031694058
HMDB31647,Acrylic acid,C3H4O2,72.021129372
HMDB31648,"2,4-Pentanedione",C5H8O2,100.0524295
HMDB31651,N-(3-Methylbutyl)acetamide,C6H13NO,115.099714043
HMDB31652,Allyl alcohol,C3H6O,58.041864814
HMDB31653,3-(Methylthio)-1-propene,C4H8S,88.034670946
HMDB31654,3-Aminobutanoic acid,C4H9NO2,103.063328537
HMDB31655,Rhamnetin 3-laminaribioside,C28H32O17,640.163949598
HMDB31656,Jaceidin 4'-glucuronide,C24H24O14,536.116605476
HMDB31657,Ferreirin,C16H14O6,302.07903818
HMDB31658,L-2-Amino-5-hydroxypentanoic acid,C5H11NO3,133.073893223
HMDB31659,3-Methyl-1-butylamine,C5H13N,87.104799421
HMDB31660,Dibutyl sulfide,C8H18S,146.112921266
HMDB31661,"3-Isovalidene-3alpha,4-dihydrophthalide",C13H16O2,204.115029756
HMDB31663,3-(3-Methylbutylidene)-1(3H)-isobenzofuranone,C13H14O2,202.099379692
HMDB31664,Alnustone,C19H18O,262.135765198
HMDB31665,Daucic acid,C7H8O7,204.02700261
HMDB31666,Diethyl sulfide,C4H10S,90.05032101
HMDB31667,Nor-psi-tropine,C7H13NO,127.099714043
HMDB31668,Dihydrodeoxy-8-epiaustdiol,C12H14O4,222.089208936
HMDB31669,Captafol,C10H9Cl4NO2S,346.910810055
HMDB31670,"1-(Hydroxymethyl)-5,5-dimethyl-2,4-imidazolidinedione",C6H10N2O3,158.069142196
HMDB31671,"2,4,6-Trimethyl-1,3,5-trithiane",C6H12S3,180.010112454
HMDB31672,Armillaribin,C24H30O5,398.20932407
HMDB31673,Armillarilin,C24H30O7,430.199153314
HMDB31674,Armillarinin,C24H29ClO7,464.160180989
HMDB31675,3beta-Acetoxy-11alpha-methoxy-12-ursen-28-oic acid,C34H54O5,542.397124838
HMDB31676,"5a,6a-Epoxy-7E-megastigmene-3a,9e-diol 3-glucoside",C19H32O8,388.209718
HMDB31677,"5-(14-Nonadecenyl)-1,3-benzenediol",C25H42O2,374.318480588
HMDB31678,Pipericine,C22H41NO,335.318814939
HMDB31679,"(9xi,10xi,12xi)-9,10-Dihydroxy-12-octadecenoic acid",C18H34O4,314.245709576
HMDB31680,"1-O-beta-D-Glucopyranosyl-2,3-di-O-palmitoylglycerol",C41H78O10,730.559498716
HMDB31681,Dihydro-5-propyl-2(3H)-furanone,C7H12O2,128.083729628
HMDB31682,(Â±)-2-Methylthiazolidine,C4H9NS,103.045569983
HMDB31683,xi-Dihydro-5-octyl-2(3H)-furanone,C12H22O2,198.161979948
HMDB31684,2-Methyloctanal,C9H18O,142.135765198
HMDB31685,"2,4-Nonadienal",C9H14O,138.10446507
HMDB31686,"(E,E)-2,4-Octadienal",C8H12O,124.088815006
HMDB31687,"1,2-Di-O-myristoyl-3-O-(6-sulfoquinovopyranosyl)glycerol",C37H70O12S,738.458798394
HMDB31688,Hexyl glucoside,C12H24O6,264.1572885
HMDB31689,1-Hexanol arabinosylglucoside,C17H32O10,396.199547244
HMDB31690,cis-3-Hexenyl b-primeveroside,C17H30O10,394.18389718
HMDB31691,cis-3-Hexenyl pentanoate,C11H20O2,184.146329884
HMDB31692,cis-3-Hexenyl trans-4-hexenoate,C12H20O2,196.146329884
HMDB31693,Ethyl (S)-3-hydroxybutyrate glucoside,C12H22O8,294.13146768
HMDB31694,Butyl (S)-3-hydroxybutyrate glucoside,C14H26O8,322.162767808
HMDB31695,xi-3-Hydroxy-5-phenylpentanoic acid O-beta-D-Glucopyranoside,C17H24O8,356.147117744
HMDB31696,Dibutyl malate,C12H22O5,246.146723814
HMDB31697,Lucuminamide,C19H27NO11,445.158410711
HMDB31698,S-(3-Methyl-2-butenyl) ethanethioate,C7H12OS,144.060885696
HMDB31699,S-(3-Methyl-2-butenyl) 2-methylpropanethioate,C9H16OS,172.092185824
HMDB31700,1-(Malonylamino)cyclopropanecarboxylic acid,C7H9NO5,187.048072403
HMDB31701,1-(gamma-Glutamylamino)cyclopropanecarboxylic acid,C9H14N2O5,230.090271568
HMDB31702,1-Piperidinecarboxaldehyde,C6H11NO,113.084063979
HMDB31703,2-Ethylbutyl acetate,C8H16O2,144.115029756
HMDB31704,Danielone,C10H12O5,212.068473494
HMDB31705,Heliannone A,C17H16O5,300.099773622
HMDB31706,"3,4-Dihydroxyphenacyl caffeate",C17H14O7,330.073952802
HMDB31707,"1,2-Ethanedithiol",C2H6S2,93.991091572
HMDB31708,"1,2-Bis(methylthio)ethane",C4H10S2,122.0223917
HMDB31709,"1,6-Hexanedithiol",C6H14S2,150.053691828
HMDB31710,"1,9-Nonanedithiol",C9H20S2,192.10064202
HMDB31711,15-Hexadecanolide,C16H30O2,254.224580204
HMDB31712,"(Â±)-Glycerol 1,2-diacetate",C7H12O5,176.068473494
HMDB31713,"2-Hydroxy-4-imino-2,5-cyclohexadienone",C6H5NO2,123.032028409
HMDB31714,Methylthiomethyl 2-methylbutanethiolate,C7H14OS2,178.04860645
HMDB31715,6-Hydroxydaidzein,C15H10O5,270.05282343
HMDB31716,3-(Methylthio)-1-propanol,C4H10OS,106.045235632
HMDB31717,3-(Methylthio)propyl acetate,C6H12O2S,148.055800318
HMDB31718,(Methylthio)acetaldehyde,C3H6OS,90.013935504
HMDB31719,"1,2,4,6-Tetrathiepane",C3H6S4,169.935232952
HMDB31720,Xenognosin B,C16H12O5,284.068473494
HMDB31721,Leonuriside A,C14H20O9,332.110732238
HMDB31722,"3,4,5-Trimethoxyphenyl acetate",C11H14O5,226.084123558
HMDB31723,Trichocarposide,C22H24O9,432.142032366
HMDB31724,Moringyne,C15H20O7,312.120902994
HMDB31725,(E)-3-(2-Hydroxyphenyl)-2-propenal,C9H8O2,148.0524295
HMDB31726,cis-Mulberroside A,C26H32O14,568.179205732
HMDB31727,Alphachloralose,C8H11Cl3O6,307.962121205
HMDB31728,2-Hexylidenecyclopentanone,C11H18O,166.135765198
HMDB31729,Phenylmethylglycidic ester,C12H14O3,206.094294314
HMDB31730,"3,5,5-Trimethylhexanal",C9H18O,142.135765198
HMDB31731,3-Methyl-1-phenyl-3-pentanol,C12H18O,178.135765198
HMDB31732,3-Nonanol,C9H20O,144.151415262
HMDB31733,4-(4-Methyl-3-pentenyl)-3-cyclohexene-1-carboxaldehyde,C13H20O,192.151415262
HMDB31734,2-Methylundecanal,C12H24O,184.18271539
HMDB31735,Ethyl maltol,C7H8O3,140.047344122
HMDB31736,2-Hexyl-3-phenyl-2-propenal,C15H20O,216.151415262
HMDB31737,delta-Methylionone,C14H22O,206.167065326
HMDB31738,"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one",C14H22O,206.167065326
HMDB31739,"7-Hydroxy-3,7-dimethyloctanal",C10H20O2,172.146329884
HMDB31740,Methyl dihydrojasmonate,C13H22O3,226.15689457
HMDB31741,Coniferan,C13H24O2,212.177630012
HMDB31742,4-(2-Nitroethyl)phenyl primeveroside,C19H27NO12,461.153325333
HMDB31743,"(Â±)-2',4',5,7-Tetrahydroxy-3',8-diprenylisoflavanone",C25H28O6,424.188588628
HMDB31744,Artocarbene,C19H18O4,310.120509064
HMDB31745,"1,2,4-Trigalloyl-beta-D-glucopyranose",C27H24O18,636.096263964
HMDB31746,Vescalin,C27H20O18,632.064963836
HMDB31748,Chinenoside I,C49H80O23,1036.509038866
HMDB31749,Annomutacin,C37H68O7,624.49650453
HMDB31751,y-Morphine,C34H36N2O6,568.257336894
HMDB31752,"(S,E)-Zearalenone",C18H22O5,318.146723814
HMDB31753,2-(4-Allyl-2-methoxyphenoxy)-1-(4-hydroxy-3-methoxyphenyl)-1-propanol,C20H24O5,344.162373878
HMDB31754,Nequinate,C22H23NO4,365.162708229
HMDB31756,Veranisatin C,C16H20O10,372.10564686
HMDB31757,Notoginsenoside J,C42H74O16,834.49768632
HMDB31758,Allithiamine,C15H22N4O2S2,354.118417348
HMDB31759,(E)-4-Oxo-2-hexen-1-al,C6H8O2,112.0524295
HMDB31760,Gentisin,C14H10O5,258.05282343
HMDB31761,Propyl benzoate,C10H12O2,164.083729628
HMDB31762,Carbadox,C11H10N4O4,262.070204828
HMDB31763,Methyl 7-epi-12-hydroxyjasmonate glucoside,C19H30O9,402.188982558
HMDB31764,Nifursol,C12H7N5O9,365.024376847
HMDB31766,Alachlor,C14H20ClNO2,269.118256596
HMDB31767,Benomyl,C14H18N4O3,290.137890462
HMDB31768,Iprobenfos,C13H21O3PS,288.09490174
HMDB31769,Carbendazim,C9H9N3O2,191.069476547
HMDB31770,Carbofuran,C12H15NO3,221.105193351
HMDB31771,"1-(2,4,5-Trimethoxyphenyl)-1,2-propanedione",C12H14O5,238.084123558
HMDB31772,"1-Methoxy-1-(2,4,5-trimethoxyphenyl)-2-propanol",C13H20O5,256.13107375
HMDB31773,Phytocassane E,C20H28O3,316.203844762
HMDB31774,Lucyoside J,C42H66O15,810.440171442
HMDB31775,AzI,C48H74O18,938.487515564
HMDB31776,"(6R,7S)-6,7-Epoxy-1,3-tetradecadiyne",C14H20O,204.151415262
HMDB31777,Asiminocin,C37H66O7,622.480854466
HMDB31778,Diflubenzuron,C14H9ClF2N2O2,310.032061659
HMDB31779,Isoprothiolane,C12H18O4S2,290.064650444
HMDB31780,Dithianon,C14H4N2O2S2,295.971418762
HMDB31781,"O-Ethyl S,S-diphenyl phosphorodithioate",C14H15O2PS2,310.025107616
HMDB31782,Ethiofencarb,C11H15NO2S,225.082349419
HMDB31783,Etrimfos,C10H17N2O4PS,292.064664244
HMDB31784,Halofuginone,C16H17BrClN3O3,413.014181779
HMDB31785,Robenidine,C15H13Cl2N5,333.054800855
HMDB31786,"9-(2-Carboxyphenyl)-3,6-bis(diethylamino)xanthylium(1+)",C28H31N2O3,443.233467868
HMDB31787,Fenamiphos,C13H22NO3PS,303.105800777
HMDB31788,Hexakis(2-methyl-2-phenylpropyl)distannoxane,C60H78OSn2,1054.40966026
HMDB31789,(Acetyloxy)triphenylstannane,C20H18O2Sn,410.032876391
HMDB31790,Hydroxytriphenylstannane,C18H16OSn,368.022311705
HMDB31791,Fenvalerate,C25H22ClNO3,419.128821282
HMDB31792,Folpet,C9H4Cl3NO2S,294.902832188
HMDB31793,Heptenophos,C9H12ClO4P,250.016173091
HMDB31794,Enilconazole,C14H14Cl2N2O,296.048318494
HMDB31795,Iprodione,C13H13Cl2N3O3,329.033396711
HMDB31796,Isofenphos,C15H24NO4PS,345.116365463
HMDB31797,2-Isopropylphenyl methylcarbamate,C11H15NO2,193.110278729
HMDB31798,(Â±)-Leptophos,C13H10BrCl2O2PS,409.869954827
HMDB31799,Malonoben,C18H22N2O,282.173213336
HMDB31800,Mecarbam,C10H20NO5PS2,329.052050647
HMDB31801,(Â±)-Mephosfolan,C8H16NO3PS2,269.030921275
HMDB31802,(Â±)-Metalaxyl,C15H21NO4,279.147058165
HMDB31803,(Â±)-Methamidophos,C2H8NO2PS,141.001335707
HMDB31804,Methomyl,C5H10N2O2S,162.046298264
HMDB31805,(E)-Monocrotophos,C7H14NO5P,223.060959075
HMDB31806,(Â±)-Naled,C4H7Br2Cl2O4P,377.782575932
HMDB31807,m-Hydroxydiphenyldimercury(1+),C12H11Hg2O,575.022241182
HMDB31808,Tecnazene,C6HCl4NO2,258.876139109
HMDB31809,Tricyclazole,C9H7N3S,189.036067929
HMDB31810,Tridemorph,C19H39NO,297.303164875
